Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,9,5,Greedy,168,720,801
1,9,5,Heuristic,168,720,801
1,10,3,Greedy,272,880,970
1,10,3,Heuristic,272,880,970
1,11,9,Greedy,192,896,995
1,11,9,Heuristic,192,896,995
1,11,10,Greedy,400,1064,1163
1,11,10,Heuristic,400,1064,1163
1,12,1,Greedy,264,1064,1172
1,12,1,Heuristic,264,1064,1172
1,12,2,Greedy,280,1104,1212
1,12,2,Heuristic,280,1104,1212
1,12,6,Greedy,408,1104,1212
1,12,6,Heuristic,408,1104,1212
1,12,8,Greedy,344,1040,1148
1,12,8,Heuristic,344,1040,1148
1,12,11,Greedy,280,1040,1148
1,12,11,Heuristic,280,1040,1148
1,13,0,Greedy,344,1208,1164
1,13,0,Heuristic,344,1208,1164
1,13,13,Greedy,272,1136,1253
1,13,13,Heuristic,272,1136,1253
1,14,4,Greedy,560,1344,1470
1,14,4,Heuristic,560,1344,1470
1,14,12,Greedy,368,1080,1206
1,14,12,Heuristic,368,1080,1206
1,14,15,Greedy,400,1136,1262
1,14,15,Heuristic,400,1136,1262
1,14,18,Greedy,456,1472,1598
1,14,18,Heuristic,456,1472,1598
1,15,7,Greedy,552,1384,1519
1,15,7,Heuristic,552,1384,1519
1,15,19,Greedy,424,1232,1206
1,15,19,Heuristic,424,1232,1206
1,16,14,Greedy,560,1328,1319
1,17,14,Heuristic,656,1488,1319
1,18,3,Simple,760,2160,1815
1,19,6,Simple,896,2224,2057
1,20,2,Simple,776,2384,1550
1,20,5,Simple,872,2480,1646
1,21,7,Simple,1032,2344,1857
1,21,11,Simple,904,2480,1655
1,21,16,Greedy,784,1840,1046
1,22,1,Simple,944,2664,2862
1,22,16,Heuristic,880,2000,1046
1,22,18,Simple,992,2752,2105
1,23,14,Simple,1096,2448,1319
1,24,4,Simple,1232,2944,1470
1,24,15,Simple,1024,2736,1431
1,25,17,Greedy,808,2528,908
1,27,13,Simple,1208,3376,1591
1,28,12,Simple,1424,3320,2558
1,28,17,Heuristic,1008,3008,908
1,29,9,Simple,1288,3776,3868
1,30,10,Simple,1880,4104,1670
1,32,0,Simple,1760,4248,1164
1,32,19,Simple,1656,3952,1206
1,33,17,Simple,1392,3808,908
1,36,16,Simple,1880,4240,1046
1,45,8,Simple,2744,6320,2838
2,7,3,Greedy,112,480,543
2,7,3,Heuristic,112,480,543
2,10,1,Greedy,312,856,946
2,10,1,Heuristic,312,856,946
2,10,5,Greedy,312,792,882
2,10,5,Heuristic,312,792,882
2,10,7,Greedy,360,928,1018
2,10,7,Heuristic,360,928,1018
2,10,10,Greedy,256,736,826
2,10,10,Heuristic,256,736,826
2,11,8,Greedy,312,880,979
2,11,8,Heuristic,312,880,979
2,11,11,Greedy,376,960,1059
2,11,11,Heuristic,376,960,1059
2,12,4,Greedy,320,1048,1156
2,12,4,Heuristic,320,1048,1156
2,12,9,Greedy,376,1112,1220
2,12,9,Heuristic,376,1112,1220
2,13,12,Greedy,328,1168,1285
2,13,12,Heuristic,328,1168,1285
2,14,0,Greedy,456,1216,1342
2,14,0,Heuristic,456,1216,1342
2,14,13,Greedy,480,1248,1374
2,14,13,Heuristic,480,1248,1374
2,14,14,Greedy,432,1280,1406
2,14,14,Heuristic,432,1280,1406
2,15,2,Greedy,504,1464,1599
2,15,2,Heuristic,504,1464,1599
2,15,6,Greedy,416,1456,1591
2,15,6,Heuristic,416,1456,1591
2,15,15,Greedy,456,1272,1407
2,15,18,Greedy,528,1600,1735
2,15,18,Heuristic,528,1600,1735
2,16,15,Heuristic,520,1432,1568
2,17,2,Simple,640,1784,1599
2,17,8,Simple,712,1840,1993
2,18,10,Simple,800,2016,1671
2,20,0,Simple,904,2176,1511
2,20,4,Simple,824,2328,1325
2,20,5,Simple,960,2392,1558
2,20,18,Simple,864,2400,1735
2,20,19,Greedy,752,1680,1272
2,21,3,Simple,1080,2720,1895
2,21,16,Greedy,656,1904,949
2,22,6,Simple,928,2576,1591
2,22,16,Heuristic,752,2064,949
2,22,19,Heuristic,920,2000,1272
2,23,7,Simple,1248,3008,2032
2,23,9,Simple,976,2872,3079
2,23,11,Simple,1280,2880,2918
2,23,16,Simple,848,2224,949
2,24,1,Simple,1232,3096,3312
2,24,14,Simple,1064,2880,1575
2,24,15,Simple,1104,2712,2582
2,25,12,Simple,1232,3088,2806
2,26,13,Simple,1312,3168,2726
2,29,19,Simple,1448,3120,1272
2,35,17,Greedy,1344,3928,964
2,40,17,Heuristic,1680,4728,964
2,43,17,Simple,1896,5208,964
3,9,3,Greedy,280,816,897
3,9,3,Heuristic,280,816,897
3,10,7,Greedy,400,856,946
3,10,7,Heuristic,400,856,946
3,10,11,Greedy,320,928,1018
3,10,11,Heuristic,320,928,1018
3,10,18,Greedy,288,784,874
3,10,18,Heuristic,288,784,874
3,11,5,Greedy,336,1000,1099
3,11,5,Heuristic,336,1000,1099
3,12,10,Greedy,352,1008,1116
3,12,10,Heuristic,352,1008,1116
3,12,13,Greedy,304,1024,1132
3,12,13,Heuristic,304,1024,1132
3,13,2,Greedy,280,1064,1181
3,13,2,Heuristic,280,1064,1181
3,13,9,Greedy,296,1144,1261
3,13,9,Heuristic,296,1144,1261
3,13,19,Greedy,344,1296,1413
3,13,19,Heuristic,344,1296,1413
3,14,6,Greedy,384,1000,1126
3,14,6,Heuristic,384,1000,1126
3,15,1,Greedy,408,1176,1311
3,15,1,Heuristic,408,1176,1311
3,15,15,Greedy,560,1496,1317
3,15,15,Heuristic,560,1496,1317
3,16,12,Greedy,512,1496,1640
3,16,12,Heuristic,512,1496,1640
3,16,18,Simple,632,1744,1888
3,17,0,Greedy,488,1504,1657
3,17,0,Heuristic,488,1504,1657
3,17,7,Simple,856,1976,2129
3,17,14,Simple,584,1368,1102
3,17,14,Greedy,584,1368,1102
3,17,14,Heuristic,584,1368,1102
3,17,16,Greedy,472,1136,1289
3,17,16,Heuristic,472,1136,1289
3,17,17,Greedy,400,1456,1303
3,17,17,Heuristic,400,1456,1303
3,18,3,Simple,912,2256,2418
3,18,6,Simple,696,1640,1633
3,18,8,Greedy,728,1728,1729
3,18,8,Heuristic,728,1728,1729
3,19,5,Simple,904,2280,2451
3,20,10,Simple,920,2288,2130
3,21,4,Greedy,696,1992,1464
3,21,4,Heuristic,696,1992,1464
3,22,15,Simple,1080,2616,1317
3,23,4,Simple,872,2312,1464
3,25,2,Simple,1208,2984,1857
3,25,8,Simple,1184,2848,1729
3,25,11,Simple,1392,3328,1863
3,25,17,Simple,1000,2736,1303
3,27,9,Simple,1272,3384,2613
3,30,1,Simple,1448,3576,1649
3,30,12,Simple,1464,3736,2485
3,30,13,Simple,1568,3904,1639
3,30,16,Simple,1448,3216,1458
3,34,0,Simple,1600,4224,1826
3,36,19,Simple,2032,4976,1751
4,10,5,Greedy,216,848,938
4,10,5,Heuristic,216,848,938
4,10,18,Greedy,184,872,962
4,10,18,Heuristic,184,872,962
4,11,3,Greedy,224,880,979
4,11,3,Heuristic,224,880,979
4,11,4,Greedy,272,880,979
