Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
2.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
3.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
4.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
5.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
6.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
7.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
8.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
9.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
10.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
11.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
12.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
13.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
14.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
15.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
16.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
17.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
18.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
19.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
20.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
21.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
22.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
23.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
24.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
25.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
26.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
27.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
28.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
29.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
30.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
31.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
32.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
33.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
34.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
35.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
36.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
37.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
38.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
39.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
40.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
41.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
42.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
43.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
44.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
45.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
46.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
47.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
48.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
49.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
50.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
51.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
52.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
53.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
54.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
55.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
56.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
57.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
58.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
59.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
60.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
61.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
62.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
63.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
64.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
65.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
66.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
67.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
68.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
69.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
70.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
71.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
72.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
73.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
74.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
75.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
76.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
77.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
78.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
79.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
